feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G__Prevotella.49	Time_c	Time_c	0.00221173416333836	0.00348918216715436	500	298	0.526544491682302	0.544987381058214
G__Prevotella.53	Time_c	Time_c	0.00185520796554473	0.00322747665207394	500	93	0.565760776324363	0.584553529384089
G__Phascolarctobacterium.27	Time_c	Time_c	0.000787213501088735	0.00147120610276555	500	139	0.592912277186827	0.611537793747669
G__Rikenellaceae__RC9__gut__group.17	Time_c	Time_c	-0.000471850860304236	0.00093168296192086	500	129	0.612839182854747	0.630989472242432
F__Oscillospiraceae_002.1	Time_c	Time_c	-0.000858718682034342	0.00224741225148948	500	231	0.702609996936355	0.722160883807627
G__Clostridia__UCG_014.14	Time_c	Time_c	-0.00110206130143477	0.00318817387216023	500	325	0.72978384772363	0.748788635424766
O__Rhodospirillales.5	Time_c	Time_c	-0.00115441333449299	0.0040341694010053	500	328	0.774914886952248	0.793716981263048
G__Phascolarctobacterium.23	Time_c	Time_c	0.000561754003593654	0.00207479404143057	500	168	0.786731373238424	0.804426023501572
S__Prevotellaceae__bacterium.3	Time_c	Time_c	0.000676594277203593	0.0027434358427342	500	154	0.80533533970641	0.822026227575973
G__Agathobacter.23	Time_c	Time_c	0.000713294554388482	0.00352088997244842	500	232	0.839566233638036	0.855489041517378
G__Faecalibacterium.37	Time_c	Time_c	0.000375469914268079	0.00235034507038608	500	138	0.873163484553522	0.888192115957197
C__Bacilli_RF39.6	Time_c	Time_c	0.0004366207257675	0.00324177292100281	500	286	0.892932766037318	0.900574659155317
G__Blautia.29	Time_c	Time_c	-0.000379491638867438	0.00276090056325982	500	464	0.890747402257181	0.900574659155317
