feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G__Barnesiella.12	Time_c	Time_c	-0.0120826881221274	0.0026248884411541	1071	506	4.80172882943761e-06	7.18454163201568e-06
G__Phascolarctobacterium.18	Time_c	Time_c	-0.0160641537309582	0.00349359113321328	1071	374	4.90047743568461e-06	7.31396257275928e-06
G__Acidaminococcus.1	Time_c	Time_c	0.00688367031683423	0.00150794028746218	1071	377	5.73332049503625e-06	8.53564173450535e-06
G__Escherichia_Shigella.3	Time_c	Time_c	0.0130279333202926	0.00286496197893414	1071	482	6.17240091514357e-06	9.16647598592217e-06
G__Muribaculaceae.14	Time_c	Time_c	-0.00521183269154439	0.00114632410899167	1071	500	6.29393398926952e-06	9.3237682173546e-06
F__Lachnospiraceae.15	Time_c	Time_c	-0.0118009826003815	0.00263995039374515	1071	562	8.84424296270992e-06	1.30693392295491e-05
G__Enterobacter.4	Time_c	Time_c	0.0140134257573764	0.00313598356202139	1071	385	8.86997831850705e-06	1.30750050769104e-05
F__Oscillospiraceae.5	Time_c	Time_c	-0.00953512110126379	0.00213916471420488	1071	849	9.41962393049958e-06	1.38510233657839e-05
S__Prevotella__copri.4	Time_c	Time_c	-0.0107310311351883	0.00241256678393728	1071	715	9.88300933626635e-06	1.44966991984054e-05
O__Oscillospirales_010.19	Time_c	Time_c	-0.0116562422259603	0.00262500170607379	1071	746	1.01759324813874e-05	1.48897835573242e-05
G__Prevotella.63	Time_c	Time_c	-0.00893448316272646	0.00203289309424106	1071	311	1.24761158414831e-05	1.82108585754655e-05
S__Bacteroides__thetaiotaomicron.1	Time_c	Time_c	-0.00672372230401311	0.0015380122244663	1071	191	1.39027079108409e-05	2.02436990799317e-05
S__Methanobrevibacter__smithii	Time_c	Time_c	0.0101785933894129	0.00232864330917969	1071	918	1.39655486912156e-05	2.02857240113278e-05
G__Blautia.1	Time_c	Time_c	-0.00559450218622289	0.00128281979776544	1071	1070	1.4477915865118e-05	2.09789217754258e-05
G__Clostridium__sensu__stricto__1.1	Time_c	Time_c	-0.011009319219245	0.00253564826332741	1071	919	1.57570907203493e-05	2.27771989347422e-05
G__Prevotella.40	Time_c	Time_c	0.0114864105839464	0.00264920172582025	1071	693	1.63237426635301e-05	2.35393100727716e-05
G__Lachnospiraceae__UCG_010	Time_c	Time_c	0.0134729640450979	0.00312164178191516	1071	847	1.77176634668932e-05	2.54878194933379e-05
F__Oscillospiraceae_002.5	Time_c	Time_c	-0.00847247627491357	0.00197233581987839	1071	974	1.95357737418309e-05	2.80010236258848e-05
G__Lachnospiraceae__NK4A136__group.21	Time_c	Time_c	-0.00851155205102723	0.00198344805980255	1071	143	1.95585039396884e-05	2.80010236258848e-05
S__Bacteroides__stercorirosoris	Time_c	Time_c	-0.0114190875854073	0.00269127721590798	1071	252	2.44455259055556e-05	3.4913825276595e-05
F__Oscillospiraceae.2	Time_c	Time_c	-0.0136641257125005	0.00322773473888949	1071	669	2.53764340499834e-05	3.60707883996193e-05
G__Sutterella.24	Time_c	Time_c	0.0121382870794185	0.00286619704368671	1071	416	2.53233050721331e-05	3.60707883996193e-05
F__Oscillospiraceae_003.12	Time_c	Time_c	-0.00933632808081663	0.00221855556763526	1071	968	2.84103826598554e-05	4.02874072397475e-05
G__Prevotella.41	Time_c	Time_c	0.00888501715987871	0.00211293814746333	1071	162	2.87426980455752e-05	4.0662063348835e-05
F__Erysipelotrichaceae	Time_c	Time_c	0.0110974732487352	0.00266174495514373	1071	392	3.3715069328759e-05	4.74714537482762e-05
G__Faecalibacterium.30	Time_c	Time_c	0.0058127907515186	0.00139375619791496	1071	1054	3.3645784416566e-05	4.74714537482762e-05
G__Negativibacillus	Time_c	Time_c	0.0138136180828944	0.00335455642424792	1071	539	4.15876180496745e-05	5.84183717074252e-05
G__Prevotella.2	Time_c	Time_c	-0.00821730183629364	0.00201229090032361	1071	546	4.88077541466766e-05	6.83995991210468e-05
F__Erysipelatoclostridiaceae_004.1	Time_c	Time_c	-0.0121122971626007	0.00297047669595434	1071	604	4.95909692747783e-05	6.93344465036128e-05
F__Oscillospiraceae_002.13	Time_c	Time_c	-0.0100845749645076	0.00247903200628296	1071	911	5.18345027258177e-05	7.2301864783442e-05
G__Megasphaera	Time_c	Time_c	0.00903436284811169	0.00222442053061241	1071	394	5.33618291488568e-05	7.42587692351224e-05
G__Prevotella.6	Time_c	Time_c	-0.00631391720287063	0.00155685604083993	1071	537	5.49572476081813e-05	7.63011088885679e-05
G__Blautia.33	Time_c	Time_c	0.0101484373943471	0.00252534082614136	1071	168	6.34874081346764e-05	8.79396349336469e-05
G__Faecalibacterium.40	Time_c	Time_c	-0.00813126423522792	0.00202792764142312	1071	183	6.56216798102455e-05	9.06855158488809e-05
S__Prevotella__copri.7	Time_c	Time_c	-0.00987106724783173	0.00249032716947128	1071	579	8.01606327862503e-05	0.000110521703864645
G__Eubacterium__hallii__group	Time_c	Time_c	0.0106988819711741	0.00270712432958233	1071	303	8.35370235434711e-05	0.00011491152777754
S__Prevotellaceae__bacterium	Time_c	Time_c	-0.00815543522021651	0.00207236169371801	1071	143	8.96685879066581e-05	0.000123062406851207
S__Dorea__formicigenerans	Time_c	Time_c	0.00582492533215113	0.00149496544205711	1071	1039	0.000105546730347516	0.000144521555085934
S__Prevotellaceae__bacterium.2	Time_c	Time_c	-0.0116024252054623	0.00297912633885121	1071	303	0.000106117580778157	0.000144970699598534
G__Muribaculaceae.52	Time_c	Time_c	-0.00693999425238883	0.00178668055950693	1071	332	0.000110676837241594	0.000150854045281351
G__Faecalibacterium.20	Time_c	Time_c	0.0116611919744679	0.0030160552718752	1071	454	0.000118556970720009	0.000161226677721744
G__Prevotella.34	Time_c	Time_c	0.011522907797467	0.00298033648749882	1071	598	0.000119042259721635	0.000161518702395036
G__Muribaculaceae.6	Time_c	Time_c	-0.00930400187120912	0.00242887283311551	1071	219	0.000136947371233771	0.000185391339289255
G__Eubacterium__coprostanoligenes__group.7	Time_c	Time_c	-0.00614688924824439	0.00161159183965673	1071	421	0.000146908023717946	0.000198425543347542
S__Prevotella__copri.2	Time_c	Time_c	-0.0101014198170588	0.00265760118645817	1071	733	0.000154773567472126	0.000208577471288621
G__Blautia.16	Time_c	Time_c	-0.00581918122472325	0.00154625227691056	1071	1065	0.000178716181364586	0.000240300811429409
S__Massiliprevotella__massiliensis.7	Time_c	Time_c	0.00555774094080831	0.0015024396869983	1071	758	0.000231306185455826	0.000310314140937366
G__Lachnoclostridium.5	Time_c	Time_c	-0.0103104286499713	0.00279591544466159	1071	957	0.00023949788423235	0.000320583490777383
G__Lachnoclostridium.15	Time_c	Time_c	0.00930411478269517	0.00252592776953365	1071	477	0.000244445054950584	0.000326473596880311
G__Prevotella.70	Time_c	Time_c	-0.00808156075329516	0.00219818306719759	1071	415	0.000251462981116307	0.000335096874389365
G__Prevotella.61	Time_c	Time_c	-0.00715730099512187	0.00194752091385394	1071	539	0.000253770599923946	0.000337418815489077
G__Prevotella.62	Time_c	Time_c	-0.00642944677151555	0.00176910782774896	1071	341	0.000295513580899698	0.000392048017326933
G__Succinivibrio.3	Time_c	Time_c	-0.00739576427846163	0.00203895633283355	1071	578	0.000304779668291182	0.000403444483303405
F__Oscillospiraceae_002.11	Time_c	Time_c	-0.00988347917001457	0.00275390820230559	1071	649	0.0003511736893872	0.000463828965849908
